[I 241003 09:20:37 webSocket:62] WebSocket connection opened
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302922, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302987, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1302993, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303001, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303002, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303004, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303006, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5244280, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:26 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303106, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5243935, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:27 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303183, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5243935, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:27 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303188, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5243935, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:27 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303203, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5243935, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:27 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303204, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5243935, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:27 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303211, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5243935, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:27 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303213, 'exchange_timestamp': 1727927653000, 'last_traded_price': 5243935, 'subscription_mode_val': 'LTP'}
[I 241003 09:24:27 webSocket:56] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1303485, 'exchange_timestamp': 1727927654000, 'last_traded_price': 5243935, 'subscription_mode_val': 'LTP'}
